instance,solver,m_knapsacks,n_items,objective,runtime,status,gap
probT1_0U_R50_T002_M020_N0020_seed06.txt,PuLP,20,20,5137.0,0.05212211608886719,Optimal,
probT1_0U_R50_T002_M020_N0020_seed06.txt,OR-Tools,20,20,5137.0,0.01402902603149414,Optimal,
probT1_0U_R50_T002_M020_N0020_seed07.txt,PuLP,20,20,3744.0,0.04778933525085449,Optimal,
probT1_0U_R50_T002_M020_N0020_seed07.txt,OR-Tools,20,20,3744.0,0.011371850967407227,Optimal,
probT1_0U_R50_T002_M020_N0020_seed08.txt,PuLP,20,20,3675.0,0.052678823471069336,Optimal,
probT1_0U_R50_T002_M020_N0020_seed08.txt,OR-Tools,20,20,3675.0,0.01187586784362793,Optimal,
probT1_0U_R50_T002_M020_N0020_seed09.txt,PuLP,20,20,3978.0,0.07740998268127441,Optimal,
probT1_0U_R50_T002_M020_N0020_seed09.txt,OR-Tools,20,20,3978.0,0.008237838745117188,Optimal,
probT1_0U_R50_T002_M020_N0020_seed10.txt,PuLP,20,20,5938.0,0.0463254451751709,Optimal,
probT1_0U_R50_T002_M020_N0020_seed10.txt,OR-Tools,20,20,5938.0,0.014825105667114258,Optimal,
probT1_0U_R50_T002_M020_N0040_seed01.txt,PuLP,20,40,17825.0,60.04489874839783,Optimal,
probT1_0U_R50_T002_M020_N0040_seed01.txt,OR-Tools,20,40,17825.0,60.02888774871826,Feasible,
probT1_0U_R50_T002_M020_N0040_seed02.txt,PuLP,20,40,14702.0,0.20528531074523926,Optimal,
probT1_0U_R50_T002_M020_N0040_seed02.txt,OR-Tools,20,40,14702.0,0.15408849716186523,Optimal,
probT1_0U_R50_T002_M020_N0040_seed03.txt,PuLP,20,40,14512.0,1.5713539123535156,Optimal,
probT1_0U_R50_T002_M020_N0040_seed03.txt,OR-Tools,20,40,14512.0,0.6721670627593994,Optimal,
probT1_0U_R50_T002_M020_N0040_seed04.txt,PuLP,20,40,16802.0,60.05689454078674,Optimal,
probT1_0U_R50_T002_M020_N0040_seed04.txt,OR-Tools,20,40,16802.0,60.02028560638428,Feasible,
probT1_0U_R50_T002_M020_N0040_seed05.txt,PuLP,20,40,14727.0,0.4182000160217285,Optimal,
probT1_0U_R50_T002_M020_N0040_seed05.txt,OR-Tools,20,40,14727.0,0.43325233459472656,Optimal,
probT1_0U_R50_T002_M020_N0040_seed06.txt,PuLP,20,40,15849.0,0.32402610778808594,Optimal,
probT1_0U_R50_T002_M020_N0040_seed06.txt,OR-Tools,20,40,15849.0,0.4880509376525879,Optimal,
probT1_0U_R50_T002_M020_N0040_seed07.txt,PuLP,20,40,13444.0,5.048756122589111,Optimal,
probT1_0U_R50_T002_M020_N0040_seed07.txt,OR-Tools,20,40,13444.0,3.416443109512329,Optimal,
probT1_0U_R50_T002_M020_N0040_seed08.txt,PuLP,20,40,14662.0,0.2164783477783203,Optimal,
probT1_0U_R50_T002_M020_N0040_seed08.txt,OR-Tools,20,40,14662.0,0.18973064422607422,Optimal,
probT1_0U_R50_T002_M020_N0040_seed09.txt,PuLP,20,40,15311.0,0.8669612407684326,Optimal,
probT1_0U_R50_T002_M020_N0040_seed09.txt,OR-Tools,20,40,15311.0,1.6157758235931396,Optimal,
probT1_0U_R50_T002_M020_N0040_seed10.txt,PuLP,20,40,16725.0,10.576256036758423,Optimal,
